Date,Open,High,Low,Close,Adj Close,Volume
8/31/15,28.0075,28.6325,28,28.190001,25.740059,224917200
9/1/15,27.5375,27.969999,26.84,26.93,24.58956,307383600
9/2/15,27.557501,28.084999,27.282499,28.084999,25.64418,247555200
9/3/15,28.122499,28.195,27.51,27.592501,25.194494,212935600
9/4/15,27.2425,27.612499,27.127501,27.317499,24.943388,199985200
9/8/15,27.9375,28.139999,27.58,28.077499,25.637331,219374400
9/9/15,28.440001,28.504999,27.442499,27.5375,25.144266,340043200
9/10/15,27.567499,28.32,27.475,28.1425,25.696688,251571200
9/11/15,27.9475,28.5525,27.940001,28.5525,26.071053,199662000
9/14/15,29.145,29.2225,28.715,28.827499,26.322153,233453600
9/15/15,28.9825,29.1325,28.605,29.07,26.543583,173364800
9/16/15,29.0625,29.135,28.860001,29.102501,26.573257,148694000
9/17/15,28.915001,29.122499,28.43,28.48,26.004858,256450400
9/18/15,28.0525,28.575001,27.967501,28.362499,25.897564,297141200
9/21/15,28.4175,28.842501,28.415001,28.8025,26.29933,200888000
9/22/15,28.344999,28.545,28.129999,28.35,25.886152,201384800
9/23/15,28.407499,28.68,28.325001,28.58,26.096163,143026800
9/24/15,28.3125,28.875,28.092501,28.75,26.251389,200878000
9/25/15,29.110001,29.172501,28.504999,28.6775,26.185192,224607600
9/28/15,28.4625,28.6425,28.110001,28.110001,25.667009,208436000
9/29/15,28.2075,28.377501,26.965,27.264999,24.895445,293461600
9/30/15,27.5425,27.885,27.182501,27.575001,25.178507,265892000
10/1/15,27.2675,27.405001,26.827499,27.395,25.014153,255716400
10/2/15,27.002501,27.752501,26.887501,27.594999,25.19677,232079200
10/5/15,27.469999,27.842501,27.2675,27.695,25.288074,208258800
10/6/15,27.657499,27.934999,27.442499,27.827499,25.409063,192787200
10/7/15,27.934999,27.942499,27.352501,27.695,25.288074,187062400
10/8/15,27.547501,27.547501,27.0525,27.375,24.99589,247918400
10/9/15,27.5,28.07,27.372499,28.030001,25.593967,211064400
10/12/15,28.182501,28.1875,27.860001,27.9,25.475262,121868800
10/13/15,27.705,28.112499,27.67,27.9475,25.518637,132197200
10/14/15,27.8225,27.879999,27.389999,27.5525,25.157961,177849600
10/15/15,27.7325,28.025,27.622499,27.965,25.534609,150694000
10/16/15,27.945,28,27.6325,27.76,25.347431,156930400
10/19/15,27.700001,27.9375,27.5275,27.932501,25.50494,119036800
10/20/15,27.834999,28.5425,27.705,28.442499,25.970612,195871200
10/21/15,28.5,28.895,28.424999,28.440001,25.968328,167180800
10/22/15,28.5825,28.875,28.525,28.875,26.36553,166616400
10/23/15,29.174999,29.807501,29.0825,29.77,27.182743,237467600
10/26/15,29.52,29.532499,28.73,28.82,26.315308,265335200
10/27/15,28.85,29.135,28.497499,28.637501,26.148664,279537600
10/28/15,29.2325,29.825001,29.014999,29.817499,27.226112,342205600
10/29/15,29.674999,30.172501,29.567499,30.1325,27.513741,204909200
10/30/15,30.247499,30.305,29.862499,29.875,27.27862,197461200
11/2/15,30.200001,30.34,29.9025,30.295,27.662115,128813200
11/3/15,30.1975,30.872499,30.174999,30.6425,27.979416,182076000
11/4/15,30.782499,30.955,30.405001,30.5,27.849298,179544400
11/5/15,30.4625,30.672501,30.045,30.23,27.720919,158210800
11/6/15,30.2775,30.452499,30.155001,30.264999,27.753012,132169200
11/9/15,30.24,30.452499,30.012501,30.1425,27.640684,135485600
11/10/15,29.225,29.5175,29.014999,29.192499,26.769527,236511600
11/11/15,29.092501,29.355,28.8025,29.0275,26.618225,180872000
11/12/15,29.065001,29.205,28.9125,28.93,26.528818,130102400
11/13/15,28.799999,28.8925,28.067499,28.084999,25.753952,183249600
11/16/15,27.844999,28.559999,27.75,28.545,26.175777,152426800
11/17/15,28.73,28.762501,28.33,28.422501,26.063437,110467600
11/18/15,28.940001,29.372499,28.875,29.3225,26.888742,186698800
11/19/15,29.41,29.9375,29.190001,29.695,27.230326,173183200
11/20/15,29.799999,29.98,29.7125,29.825001,27.349541,137148400
11/23/15,29.817499,29.932501,29.334999,29.4375,26.994196,129930000
11/24/15,29.3325,29.8375,29.280001,29.719999,27.25325,171212800
11/25/15,29.8025,29.807501,29.48,29.5075,27.058382,85553200
11/27/15,29.5725,29.602501,29.4,29.452499,27.007954,52185600
11/30/15,29.497499,29.852501,29.4375,29.575001,27.120289,156721200
12/1/15,29.6875,29.702499,29.215,29.334999,26.900198,139409600
12/2/15,29.334999,29.5275,29.02,29.07,26.657202,133546400
12/3/15,29.137501,29.1975,28.555,28.799999,26.409607,166278000
12/4/15,28.8225,29.8125,28.7775,29.7575,27.28763,231108000
12/7/15,29.745001,29.965,29.452499,29.57,27.115696,128336800
12/8/15,29.379999,29.65,29.215,29.557501,27.104239,137238000
12/9/15,29.41,29.422501,28.77,28.905001,26.505896,185445600
12/10/15,29.01,29.235001,28.877501,29.0425,26.631983,116850800
12/11/15,28.797501,28.8475,28.2125,28.295,25.946527,187544800
12/14/15,28.045,28.17,27.4475,28.120001,25.786049,257274800
12/15/15,27.985001,28.200001,27.5875,27.622499,25.329842,213292400
12/16/15,27.7675,27.997499,27.200001,27.834999,25.524708,224954000
12/17/15,28.004999,28.0625,27.245001,27.245001,24.983675,179091200
12/18/15,27.227501,27.379999,26.452499,26.5075,24.307388,385813200
